Vieta;Pults #;Vārds;Komanda;Kopējie Punkti;Kārtas Punkti;Apdomas Laiks (s);Milisekundes;Statuss
1;30;"Dalībnieks #30";"Ātrie Prāti";220;0;6.29;6292;Bots
2;195;"Dalībnieks #195";"3. Galdiņš";217;0;8.25;8252;Bots
3;231;"Dalībnieks #231";"Zelta Bulta";196;0;22.79;22785;Bots
4;332;"Dalībnieks #332";"Gudrinieki";196;0;26.51;26506;Bots
5;337;"Dalībnieks #337";"5. Galdiņš";189;0;29.11;29105;Bots
6;467;"Dalībnieks #467";"5. Galdiņš";181;0;34.23;34232;Bots
7;470;"Dalībnieks #470";"Ātrie Prāti";180;0;32.01;32012;Bots
8;424;"Dalībnieks #424";"2. Galdiņš";175;0;32.55;32548;Bots
9;387;"Dalībnieks #387";"5. Galdiņš";175;0;45.03;45035;Bots
10;167;"Dalībnieks #167";"5. Galdiņš";174;0;40.23;40232;Bots
11;1;"art";"skeeps";168;0;6.46;6464;Aktīvs
12;31;"Dalībnieks #31";"Zelta Bulta";167;0;29.30;29303;Bots
13;2;"Jānis ♥️";"skeeps";149;0;17.17;17167;Aktīvs
14;463;"Dalībnieks #463";"1. Galdiņš";142;0;47.02;47021;Bots
15;401;"Dalībnieks #401";"Zelta Bulta";140;0;8.19;8192;Bots
16;476;"Dalībnieks #476";"4. Galdiņš";137;0;12.80;12805;Bots
17;186;"Dalībnieks #186";"4. Galdiņš";134;0;12.73;12730;Bots
18;224;"Dalībnieks #224";"2. Galdiņš";131;0;21.84;21843;Bots
19;433;"Dalībnieks #433";"1. Galdiņš";130;0;32.61;32611;Bots
20;173;"Dalībnieks #173";"1. Galdiņš";129;0;14.21;14209;Bots
21;297;"Dalībnieks #297";"5. Galdiņš";129;0;14.39;14394;Bots
22;271;"Dalībnieks #271";"Zelta Bulta";127;0;21.73;21725;Bots
23;483;"Dalībnieks #483";"1. Galdiņš";127;0;29.63;29629;Bots
24;391;"Dalībnieks #391";"Zelta Bulta";126;0;15.12;15120;Bots
25;128;"Dalībnieks #128";"VIP Galdiņš";126;0;19.56;19562;Bots
26;298;"Dalībnieks #298";"VIP Galdiņš";124;0;30.43;30431;Bots
27;39;"Dalībnieks #39";"Čempioni";122;0;28.06;28063;Bots
28;488;"Dalībnieks #488";"VIP Galdiņš";121;0;17.64;17638;Bots
29;236;"Dalībnieks #236";"4. Galdiņš";121;0;18.02;18022;Bots
30;323;"Dalībnieks #323";"1. Galdiņš";121;0;18.17;18168;Bots
31;248;"Dalībnieks #248";"VIP Galdiņš";120;0;10.36;10360;Bots
32;313;"Dalībnieks #313";"1. Galdiņš";120;0;19.23;19229;Bots
33;370;"Dalībnieks #370";"Ātrie Prāti";120;0;19.94;19943;Bots
34;281;"Dalībnieks #281";"Zelta Bulta";120;0;25.75;25748;Bots
35;425;"Dalībnieks #425";"3. Galdiņš";119;0;25.10;25100;Bots
36;193;"Dalībnieks #193";"1. Galdiņš";119;0;28.66;28656;Bots
37;263;"Dalībnieks #263";"1. Galdiņš";118;0;24.71;24711;Bots
38;194;"Dalībnieks #194";"2. Galdiņš";116;0;23.27;23266;Bots
39;415;"Dalībnieks #415";"3. Galdiņš";116;0;32.23;32232;Bots
40;342;"Dalībnieks #342";"Gudrinieki";115;0;28.74;28742;Bots
41;211;"Dalībnieks #211";"Zelta Bulta";114;0;25.46;25457;Bots
42;117;"Dalībnieks #117";"5. Galdiņš";112;0;27.83;27834;Bots
43;202;"Dalībnieks #202";"Gudrinieki";112;0;28.76;28761;Bots
44;137;"Dalībnieks #137";"5. Galdiņš";112;0;35.91;35911;Bots
45;72;"Dalībnieks #72";"Gudrinieki";111;0;34.75;34753;Bots
46;360;"Dalībnieks #360";"Ātrie Prāti";110;0;35.66;35662;Bots
47;284;"Dalībnieks #284";"2. Galdiņš";110;0;44.68;44684;Bots
48;435;"Dalībnieks #435";"3. Galdiņš";109;0;31.81;31808;Bots
49;314;"Dalībnieks #314";"2. Galdiņš";108;0;26.62;26620;Bots
50;285;"Dalībnieks #285";"3. Galdiņš";108;0;28.99;28987;Bots
51;190;"Dalībnieks #190";"Ātrie Prāti";108;0;34.24;34238;Bots
52;484;"Dalībnieks #484";"2. Galdiņš";107;0;27.09;27087;Bots
53;288;"Dalībnieks #288";"VIP Galdiņš";107;0;33.66;33656;Bots
54;372;"Dalībnieks #372";"Gudrinieki";107;0;36.08;36081;Bots
